,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
20,2021-12-04,Thomas Novak,home,Nashville Predators,Montreal Canadiens,C,14.0,0,0,0,0.11,0,0,0,1,5,0,0,0.8,0.11,20212022,0.503,0.503,0.503,0.503,-0.503,0.503,0.29700000000000004,0.393,0.055,-0.04,-0.21437500000000007,0.9505812499999999,0.7512062499999999,,,21,0.20176820688414782,0.23736575766499485,0.23736575766499485,,0.22626829520969885,0.0,1,0.22626829520969885
21,2021-12-07,Thomas Novak,away,Nashville Predators,Detroit Red Wings,C,10.816666666667,0,0,0,0.08,1,0,0,3,4,1,1,0.1,0.27,20212022,0.401133333333344,0.401133333333344,0.401133333333344,0.401133333333344,0.598866666666656,-0.598866666666656,-0.301133333333344,0.13113333333334398,0.09,-0.01,0.036791666666660006,0.13221125000001133,0.24900291666667135,,,22,0.2207985864267885,0.23784138905930885,0.23784138905930885,,0.23756379829085741,0.0,1,0.23756379829085741
22,2021-12-09,Thomas Novak,away,Nashville Predators,New York Islanders,C,12.683333333333,0,0,0,0.0,1,0,0,3,0,0,0,0.55,0.18,20212022,0.460866666666656,0.460866666666656,0.460866666666656,0.460866666666656,-0.460866666666656,0.460866666666656,0.08913333333334406,0.280866666666656,0.05,0.03,-0.34429166666666,0.7865512499999886,0.5222595833333286,,,23,0.22174801009130274,0.24927546571624856,0.24927546571624856,,0.2423887856867888,0.0,1,0.2423887856867888
23,2021-12-10,Thomas Novak,away,Nashville Predators,New Jersey Devils,C,11.683333333333,0,0,0,0.09,0,0,0,2,3,0,0,0.2,0.46,20212022,0.428866666666656,0.428866666666656,0.428866666666656,0.428866666666656,-0.428866666666656,0.428866666666656,-0.228866666666656,-0.031133333333344004,0.045,-0.01,-0.54304166666666,0.2763512499999886,-0.23169041666667134,,,24,0.23157070011021422,0.2302369633989496,0.2302369633989496,,0.24138527848148275,0.0,1,0.24138527848148275
24,2021-12-12,Thomas Novak,away,Nashville Predators,New York Rangers,C,9.1166666666667,0,0,0,0.0,0,0,0,2,2,0,0,0.33,0.22,20212022,0.3467333333333344,0.3467333333333344,0.3467333333333344,0.3467333333333344,-0.3467333333333344,0.3467333333333344,-0.016733333333334377,0.1267333333333344,0.0,0.0,-0.41045833333333404,0.5965712500000011,0.18611291666666707,,,25,0.2168804503922172,0.228515518847754,0.228515518847754,,0.23612104298570386,0.0,1,0.23612104298570386
25,2021-12-16,Thomas Novak,home,Nashville Predators,Colorado Avalanche,C,15.1,0,0,0,0.06,0,0,0,3,6,0,0,0.49,0.61,20212022,0.5382,0.5382,0.5382,0.5382,-0.5382,0.5382,-0.04820000000000002,-0.07179999999999997,0.03,-0.03,-0.43012500000000004,0.13820125,-0.29192375000000004,,,26,0.21593127851207927,0.20848540506079197,0.20848540506079197,,0.22592499426769044,0.0,1,0.22592499426769044
26,2021-12-17,Thomas Novak,away,Nashville Predators,Chicago Blackhawks,C,12.916666666667,1,0,0,0.16,0,0,0,3,4,0,1,0.28,0.25,20212022,0.468333333333344,0.468333333333344,0.468333333333344,0.468333333333344,-0.468333333333344,-0.5316666666666561,-0.18833333333334396,0.21833333333334398,0.83,-0.01,-0.51770833333334,0.23803125000001135,0.5403229166666713,,,27,0.2006199643403624,0.22109511395862577,0.22109511395862577,,0.2177302314922853,0.0,1,0.2177302314922853
27,2022-12-19,Thomas Novak,home,Nashville Predators,Edmonton Oilers,C,13.833333333333,0,1,0,0.12,1,0,0,4,7,1,0,1.27,0.5,20222023,0.497666666666656,0.497666666666656,0.497666666666656,0.497666666666656,0.502333333333344,0.497666666666656,0.772333333333344,-0.002333333333344012,0.81,-0.03,0.7077083333333402,0.2818812499999886,1.7695895833333286,,,28,0.2105803599682084,0.2792387248624458,0.2792387248624458,,0.21591757197847375,0.0,1,0.21591757197847375
28,2022-12-21,Thomas Novak,away,Nashville Predators,Chicago Blackhawks,C,12.066666666667,1,0,0,0.14,0,0,0,0,5,0,0,0.82,0.76,20222023,0.44113333333334404,0.44113333333334404,0.44113333333334404,0.44113333333334404,-0.44113333333334404,0.44113333333334404,0.3788666666666559,-0.318866666666656,0.8200000000000001,-0.05,-0.16320833333334006,-0.22053874999998857,0.3862529166666714,,,29,0.2975361966584654,0.28321220156914023,0.28321220156914023,,0.21493233323227168,0.0,1,0.21493233323227168
29,2022-12-23,Thomas Novak,home,Nashville Predators,Colorado Avalanche,C,13.133333333333,0,1,0,0.07,0,0,1,1,8,0,1,0.45,1.75,20222023,0.475266666666656,0.475266666666656,0.475266666666656,0.475266666666656,-0.475266666666656,-0.5247333333333439,-0.025266666666656,-1.274733333333344,0.735,0.07999999999999999,-0.41579166666666,-2.304558750000011,-1.9053504166666713,,,30,0.3022400483498947,0.20279876166548147,0.20279876166548147,,0.21340790587792746,0.0,1,0.21340790587792746
30,2022-12-27,Thomas Novak,home,Nashville Predators,Dallas Stars,C,8.6166666666667,0,0,0,0.0,1,1,0,1,1,0,1,0.65,0.44,20222023,0.3307333333333344,0.3307333333333344,0.3307333333333344,0.3307333333333344,-0.3307333333333344,-0.6692666666666656,0.31926666666666564,-0.10926666666666562,0.05,-0.15,-0.200458333333334,-0.232028749999999,-0.5324870833333331,,,31,0.1906812720213079,0.17604712893908708,0.17604712893908708,,0.21430846426653738,0.0,1,0.21430846426653738
31,2022-12-30,Thomas Novak,away,Nashville Predators,Anaheim Ducks,C,12.516666666667,1,0,0,0.48,0,0,0,0,3,1,1,0.8,0.34,20222023,0.455533333333344,0.455533333333344,0.455533333333344,0.455533333333344,0.544466666666656,-0.544466666666656,0.34446666666665604,0.11553333333334398,0.99,-0.03,0.44029166666666,0.07135125000001141,1.4716429166666711,,,32,0.1556408039063893,0.22275112596459146,0.22275112596459146,,0.21805601055347024,0.0,1,0.21805601055347024
32,2022-12-31,Thomas Novak,away,Nashville Predators,Vegas Golden Knights,C,11.266666666667,0,0,0,0.21,0,0,0,2,5,0,1,0.79,0.49,20222023,0.41553333333334397,0.41553333333334397,0.41553333333334397,0.41553333333334397,-0.41553333333334397,-0.584466666666656,0.37446666666665607,-0.07446666666665602,0.105,-0.03,-0.16595833333333998,-0.22639874999998855,-0.3173570833333285,,,33,0.21679257640682614,0.20344901047179806,0.20344901047179806,,0.2239378750487669,0.0,1,0.2239378750487669
